person(xloc,yloc,rescuetime)
0,26,57
76,27,388
35,59,329
15,95,373
88,89,409
26,7,124
70,8,336
49,34,341
15,97,422
71,83,79
6,24,268
98,21,192
59,60,238
0,100,440
100,92,383
18,0,276
84,3,434
65,68,325
24,82,220
68,98,226
10,18,276
75,20,326
33,32,175
18,79,418
100,89,79
23,5,185
81,15,155
65,51,186
28,68,68
82,98,94
17,15,353
67,1,239
33,38,450
10,80,290
74,99,437
0,27,216
68,11,88
54,36,180
0,99,287
80,83,162
4,0,307
100,0,356
50,32,302
23,91,285
95,94,281
16,15,271
98,2,278
60,35,191
12,82,69
88,74,335
21,1,135
77,23,331
37,48,250
28,85,385
93,87,423
0,0,359
67,0,261
68,44,110
12,91,307
84,94,190
2,4,138
90,4,283
58,66,314
6,71,344
82,71,265
13,6,309
73,23,172
58,53,110
21,79,426
82,100,61
26,0,299
67,25,164
51,61,352
2,88,199
98,91,262
12,25,104
100,0,115
65,59,276
0,94,120
77,98,62
21,26,56
98,3,208
65,32,258
24,98,147
87,86,243
4,6,334
79,0,373
55,64,363
0,71,229
83,99,345
22,0,298
95,10,161
46,55,301
0,69,162
95,78,241
1,19,80
94,19,379
51,55,433
22,71,321
71,67,207
14,0,242
88,7,344
35,41,60
12,100,105
79,100,361
13,0,413
68,1,177
52,32,299
2,80,211
77,85,435
23,20,407
97,20,424
48,57,402
4,77,254
67,67,240
7,22,309
85,17,50
54,35,127
6,75,201
97,80,61
15,11,99
91,9,400
41,39,199
0,100,360
92,98,157
12,26,383
71,24,413
67,42,106
21,77,313
80,95,426
16,9,118
100,21,80
32,53,361
0,71,331
82,99,372
2,2,63
97,11,204
40,33,389
2,93,227
98,97,87
11,11,394
89,18,70
51,56,306
0,100,95
97,72,161
2,10,352
68,7,392
64,53,182
21,78,337
93,82,146
15,11,103
78,0,90
65,42,437
16,74,320
70,74,352
19,13,79
75,12,307
59,59,198
12,77,55
67,88,229
2,22,438
97,10,300
44,48,244
0,91,105
99,89,281
12,28,428
99,0,272
46,62,271
0,84,247
75,86,234
4,12,371
100,1,302
39,52,134
26,96,420
97,82,280
10,0,78
78,0,247
59,35,215
0,76,171
85,80,192
15,0,223
78,28,113
33,34,380
1,82,285
81,74,128
13,10,97
100,11,130
50,65,300
25,73,424
82,100,342
5,6,354
99,28,93
68,45,180
15,74,271
94,81,339
0,1,197
70,10,205
40,52,259
9,99,212
90,80,136
14,24,57
86,3,59
44,36,344
0,88,56
79,72,121
20,17,374
86,10,364
42,39,343
24,93,148
73,73,101
12,0,348
91,11,213
43,39,244
17,77,261
84,87,411
14,21,193
97,0,271
41,60,81
9,94,135
87,85,152
26,1,168
77,6,234
67,42,147
27,99,292
69,100,263
0,5,329
98,0,344
61,55,165
28,67,85
76,84,273
25,5,172
76,0,87
64,48,213
0,82,405
68,91,219
0,9,164
95,0,441
58,57,416
1,86,101
70,68,349
25,8,302
93,12,237
47,59,391
24,91,264
73,99,222
21,0,391
70,0,286
67,58,148
14,87,158
96,95,172
11,0,325
78,14,90
36,63,323
1,85,109
91,69,258
25,3,373
83,6,396
37,44,417
4,96,51
96,76,320
4,24,355
99,20,203
65,39,411
19,85,284
90,77,441
0,0,72
95,11,134
61,44,224
25,74,378
74,69,299
19,0,248
100,0,61
43,56,210
9,98,314
92,100,132
2,21,372
82,21,314
47,36,399
13,95,360
89,96,384
0,3,89
68,19,102
62,65,401
28,82,318
73,94,424
16,9,271
82,7,57
50,62,102
2,96,413
100,69,268
0,0,116
75,0,424
41,48,137
25,91,305
84,76,344
5,1,283
76,28,327
67,63,259
3,88,298
84,74,140

hospital(numambulance)
4
5
3
4
4
